event_id,long,lat,eiso,dist,angle,time_utc,seen,obs_time,end_time
461,1.573,0.842,3.07e+51,1170000.0,21.611,2011-09-28 17:15:34.008,True,1,61
462,1.977,0.104,1.55e+48,11800000.0,71.727,2011-10-26 05:31:40.886,False,-1,-1
463,3.592,-0.665,9.03e+49,1070000.0,37.104,2012-07-27 11:56:34.456,True,1,61
464,0.682,-0.101,8.339999999999991e+50,421000.0,45.604,2012-05-11 00:01:42.326,False,-1,-1
465,4.301,1.081,7.19e+48,1080000.0,16.57,2012-08-15 06:54:07.369,True,1,61
466,1.687,-0.437,1.94e+50,2240000.0,75.666,2012-07-22 12:26:31.080,True,18,78
467,5.228,-0.851,1.23e+49,559000.0,27.619,2012-04-08 01:48:44.109,True,1,61
468,2.172,-0.177,1.66e+51,442000.0,58.358,2012-09-04 06:44:00.713,True,1,61
469,5.25,0.398,5.6699999999999995e+51,636000.0,24.657,2012-05-25 15:37:38.321,True,1,61
470,3.396,-0.63,9e+50,212000.0,66.41,2012-02-23 21:08:05.984,False,-1,-1
471,2.753,-0.466,1.0500000000000001e+52,987000.0,33.782,2012-08-04 07:25:17.957,True,1,61
472,0.859,0.436,2.11e+48,292000.0,15.653,2012-07-09 07:26:42.608,True,1,61
473,2.173,1.054,4.9e+48,382000.0,55.641,2012-04-28 22:39:53.121,False,-1,-1
474,6.02,-0.278,8.36e+49,804000.0,44.844,2011-10-14 17:38:22.983,False,-1,-1
475,2.578,1.382,1.66e+51,1770000.0,43.146,2012-07-16 07:33:37.630,True,22,82
476,5.526,0.993,5.25e+51,230000.0,63.689,2012-01-16 06:18:01.395,False,-1,-1
477,1.708,-0.074,5.28e+49,96200.0,37.233,2011-11-21 00:35:44.351,False,-1,-1
478,0.561,0.481,7.74e+49,242000.0,21.614,2011-12-09 20:47:12.033,True,1,61
479,2.341,0.424,8.319999999999999e+51,594000.0,44.671,2011-11-07 13:26:57.962,False,-1,-1
480,0.171,0.3,7.17e+49,553000.0,26.478,2012-09-03 19:23:45.933,True,1,61
481,0.668,-0.361,6.61e+51,278000.0,66.584,2012-09-01 12:19:41.301,False,-1,-1
482,0.311,0.462,4.5000000000000006e+51,565000.0,50.875,2011-10-04 01:41:14.402,False,-1,-1
483,0.577,0.249,8.339999999999991e+50,153000.0,45.15,2012-06-02 06:59:43.996,False,-1,-1
484,5.556,-0.538,1.1299999999999999e+51,429000.0,35.987,2012-02-09 23:31:03.019,False,-1,-1
485,5.191,-0.256,2.28e+48,659000.0,46.189,2012-06-19 18:06:23.245,False,-1,-1
486,0.88,0.46,3.09e+49,1870000.0,33.52,2012-04-23 17:04:03.286,False,-1,-1
487,3.277,-0.283,2.2600000000000003e+50,12700000.0,34.657,2012-07-15 16:09:57.350,False,-1,-1
488,5.792,-0.057,1.9399999999999998e+51,486000.0,36.734,2012-08-15 04:28:39.453,True,1,61
489,0.701,-0.215,1.43e+51,1030000.0,21.924,2011-10-19 07:28:27.640,True,1,61
490,0.818,0.685,1.43e+51,2650000.0,44.445,2012-07-19 16:38:54.008,False,-1,-1
491,3.872,-0.575,3.8500000000000005e+52,434000.0,42.475,2012-06-15 16:45:34.289,False,-1,-1
492,3.404,-0.59,1.3300000000000002e+49,215000.0,72.68,2012-06-14 14:46:16.788,False,-1,-1
493,4.611,0.33,1.54e+52,679000.0,23.301,2012-04-06 03:54:10.075,False,-1,-1
494,4.297,0.476,1.43e+49,378000.0,31.412,2012-05-28 17:13:34.591,False,-1,-1
495,2.402,0.159,2.09e+51,1110000.0,21.412,2011-12-13 09:43:04.121,True,1,61
496,1.601,0.352,1.14e+50,804000.0,37.601,2011-09-19 05:40:24.112,False,-1,-1
497,3.428,-0.273,1.0499999999999999e+51,607000.0,29.208,2012-01-21 04:34:12.076,True,1017,1077
498,1.649,-1.075,4.520000000000001e+50,454000.0,29.714,2011-09-26 22:10:10.196,True,1,61
499,2.729,1.144,2.28e+48,476000.0,11.607,2012-09-06 21:05:09.929,True,1,61
500,5.09,-1.074,4.1699999999999995e+51,651000.0,61.387,2012-04-23 00:22:44.214,False,-1,-1
501,0.713,0.904,1.43e+50,1100000.0,5.81,2012-04-08 20:23:03.525,True,1,61
502,3.968,-0.137,4.2000000000000003e+48,1050000.0,30.95,2012-03-24 21:47:59.968,True,2851,2911
503,1.978,-1.021,7.74e+49,384000.0,51.382,2012-04-20 08:55:28.356,False,-1,-1
504,1.581,0.441,4.5300000000000003e+49,1070000.0,40.044,2012-05-17 18:32:35.729,False,-1,-1
505,5.779,-0.192,1.8e+51,1320000.0,13.621,2011-11-21 14:07:04.771,True,1,61
506,2.564,0.164,9.06999999999999e+47,251000.0,19.891,2012-07-17 11:05:09.544,True,1,61
507,4.435,-0.701,1.95e+48,240000.0,81.948,2012-09-07 21:45:36.003,False,-1,-1
508,5.501,-1.303,3.59e+50,790000.0,29.953,2012-02-12 10:39:07.464,False,-1,-1
509,1.57,-0.783,1.54e+51,543000.0,56.903,2012-06-20 01:19:31.372,False,-1,-1
510,2.032,0.395,6.150000000000001e+49,1060000.0,27.401,2011-10-01 13:11:04.760,True,1,61
511,2.984,-0.562,3.3300000000000003e+49,603000.0,30.361,2012-06-03 11:16:16.253,True,1,61
512,5.873,-0.751,2.2599999999999998e+51,361000.0,13.346,2012-07-30 07:29:59.324,True,1,61
513,4.509,-0.984,3.58e+51,453000.0,42.319,2012-08-12 07:03:12.359,True,109,169
514,2.642,-0.687,1.43e+50,577000.0,70.13,2012-04-21 12:07:15.106,False,-1,-1
515,0.38,0.478,3.09e+48,1020000.0,11.572,2012-04-21 05:47:23.395,True,8,68
516,5.706,-0.144,2.84e+51,283000.0,62.235,2012-05-03 17:59:13.533,False,-1,-1
517,0.871,0.78,1.43e+51,6380000.0,70.048,2012-01-07 12:35:31.796,False,-1,-1
518,3.221,-1.366,1.43e+51,9780000.0,79.555,2011-12-22 14:05:20.534,False,-1,-1
519,0.581,-0.153,7.17e+49,529000.0,55.85,2011-12-28 05:30:33.782,False,-1,-1
520,4.407,0.261,2.84e+51,367000.0,20.092,2011-12-24 08:41:17.784,False,-1,-1
521,5.077,-0.515,2.86e+48,959000.0,38.351,2012-07-09 19:46:32.124,True,30,90
522,0.797,-0.309,4.8800000000000005e+50,931000.0,2.891,2012-04-26 04:32:02.382,True,1,61
523,3.107,0.919,9.72e+50,983000.0,40.127,2012-09-02 12:21:26.413,False,-1,-1
524,1.083,0.067,6.63e+50,383000.0,36.012,2012-07-22 23:28:36.856,False,-1,-1
